CustomerID,Cluster
12346,4
12347,7
12348,7
12349,7
12351,7
12352,7
12353,7
12355,20
12356,7
12357,7
12358,7
12359,7
12360,7
12361,18
12362,2
12366,24
12368,15
12369,7
12370,15
12371,7
12373,15
12374,7
12376,7
12377,7
12378,20
12379,7
12380,18
12385,7
12386,7
12387,7
12388,18
12389,7
12391,18
12392,27
12393,7
12395,7
12396,1
12399,7
12400,7
12402,7
12403,4
12404,1
12406,7
12408,7
12409,7
12410,5
12411,7
12412,7
12413,7
12414,18
12415,23
12416,24
12417,7
12418,7
12419,7
12421,7
12422,7
12423,7
12424,7
12425,18
12426,1
12427,7
12429,7
12431,7
12433,9
12434,7
12435,7
12437,7
12439,1
12440,18
12441,7
12443,2
12445,7
12449,7
12450,7
12451,18
12454,7
12455,18
12457,7
12458,7
12459,15
12460,18
12466,1
12467,7
12468,4
12469,4
12470,1
12471,9
12472,9
12474,7
12475,7
12476,7
12477,7
12480,7
12481,9
12482,20
12483,7
12484,5
12485,4
12486,7
12487,2
12490,7
12492,7
12494,7
12495,24
12496,15
12497,7
12499,20
12500,7
12503,27
12504,7
12505,7
12507,27
12510,18
12511,7
12514,24
12516,7
12519,18
12523,7
12524,7
12525,5
12527,5
12529,4
12530,7
12531,1
12533,15
12537,7
12538,7
12539,18
12540,9
12542,5
12543,18
12547,5
12549,27
12553,7
12554,18
12555,1
12557,7
12562,7
12563,7
12567,9
12568,24
12570,1
12573,7
12575,18
12576,7
12577,7
12578,7
12580,27
12582,7
12583,9
12586,7
12588,7
12589,7
12591,7
12592,4
12594,7
12595,5
12598,18
12599,7
12600,7
12601,7
12605,7
12606,1
12608,7
12609,7
12613,7
12615,7
12616,7
12619,20
12621,9
12623,7
12625,5
12629,7
12631,18
12632,4
12633,7
12634,26
12635,7
12636,2
12637,7
12638,24
12639,7
12643,7
12644,7
12645,7
12647,9
12648,7
12649,7
12651,7
12652,7
12653,4
12655,7
12656,7
12661,7
12662,7
12663,15
12664,4
12665,7
12666,7
12668,9
12670,7
12671,15
12672,27
12673,7
12675,26
12676,7
12677,20
12678,23
12681,9
12682,9
12683,9
12686,7
12687,18
12691,7
12692,24
12693,7
12694,7
12695,4
12696,7
12698,27
12699,7
12701,4
12703,24
12705,7
12708,7
12709,9
12711,15
12712,9
12714,7
12717,27
12720,7
12721,7
12724,7
12725,7
12726,7
12727,18
12728,7
12730,4
12731,7
12733,7
12734,7
12737,5
12738,7
12739,7
12741,4
12742,15
12744,18
12745,5
12746,26
12747,9
12748,32
12749,7
12751,18
12755,7
12758,18
12759,7
12760,18
12761,18
12763,7
12765,18
12766,7
12767,7
12768,18
12770,18
12771,5
12773,20
12774,26
12775,7
12776,1
12777,18
12778,7
12779,7
12780,27
12782,7
12784,4
12785,26
12786,15
12787,7
12788,18
12789,5
12790,7
12791,7
12792,26
12793,7
12796,15
12797,7
12798,7
12799,4
12800,18
12801,5
12802,18
12803,7
12804,18
12805,7
12806,7
12807,7
12808,7
12809,20
12810,26
12811,7
12813,5
12817,7
12819,18
12820,7
12821,15
12823,7
12825,4
12826,7
12829,20
12831,18
12835,7
12836,7
12837,20
12838,9
12839,9
12840,7
12841,9
12842,7
12843,7
12844,18
12846,1
12847,7
12848,1
12849,7
12850,18
12851,18
12853,7
12854,20
12855,7
12857,7
12858,7
12859,18
12860,1
12861,15
12862,7
12863,7
12864,5
12865,7
12866,18
12867,7
12868,7
12869,1
12870,7
12871,7
12872,9
12873,7
12874,7
12875,18
12876,7
12877,7
12880,7
12887,7
12889,7
12890,7
12891,18
12892,7
12894,27
12897,7
12898,18
12899,7
12900,7
12903,7
12905,27
12907,7
12908,7
12909,7
12910,7
12911,26
12913,7
12914,7
12915,7
12916,18
12917,7
12918,25
12920,20
12921,9
12923,7
12924,7
12925,27
12926,7
12927,7
12928,7
12931,23
12932,26
12933,7
12934,2
12935,7
12937,18
12939,23
12941,2
12942,7
12943,20
12945,24
12946,7
12947,7
12948,2
12949,9
12951,7
12953,4
12954,24
12956,1
12957,26
12958,7
12959,5
12960,7
12961,7
12963,7
12964,7
12967,7
12969,27
12970,7
12971,9
12972,7
12973,7
12974,20
12975,7
12976,7
12977,5
12978,7
12979,2
12980,7
12982,7
12983,27
12986,7
12987,7
12989,7
12990,7
12991,7
12992,2
12993,18
12996,7
12997,7
12998,5
13000,2
13001,9
13002,7
13004,9
13005,7
13007,27
13008,7
13009,1
13010,7
13011,7
13012,7
13013,9
13014,7
13015,7
13018,7
13019,7
13020,20
13021,7
13022,7
13023,4
13024,18
13025,2
13026,5
13027,7
13029,7
13030,7
13031,7
13032,7
13033,7
13034,7
13035,7
13036,1
13037,7
13039,27
13041,18
13042,27
13044,5
13045,7
13046,18
13047,9
13048,7
13049,7
13050,9
13051,27
13052,7
13053,15
13055,7
13056,20
13057,26
13059,7
13063,12
13064,20
13065,7
13067,7
13069,9
13070,18
13071,15
13073,7
13074,5
13076,18
13077,9
13078,9
13079,7
13080,7
13081,9
13082,7
13083,7
13084,5
13085,1
13086,7
13087,2
13088,7
13089,33
13090,9
13091,2
13092,7
13093,30
13094,7
13096,7
13097,9
13101,5
13102,9
13103,7
13104,7
13105,7
13106,7
13107,7
13108,7
13109,20
13110,7
13111,2
13112,26
13113,9
13114,2
13115,7
13117,7
13118,7
13119,1
13123,18
13124,7
13125,4
13126,7
13128,15
13129,18
13131,7
13133,18
13134,7
13135,5
13136,7
13137,9
13138,7
13139,7
13140,7
13141,7
13143,27
13144,7
13145,7
13148,9
13150,5
13151,15
13152,7
13154,7
13155,7
13156,7
13157,7
13158,7
13161,5
13162,7
13163,15
13164,20
13165,7
13166,7
13167,7
13168,26
13169,20
13172,7
13173,9
13174,9
13175,27
13177,7
13178,7
13179,15
13180,15
13181,7
13183,7
13187,15
13190,26
13191,24
13192,26
13194,7
13195,7
13196,18
13197,15
13198,7
13199,23
13201,5
13202,7
13203,7
13204,2
13205,18
13206,9
13207,18
13208,18
13209,4
13211,7
13213,7
13214,7
13215,7
13217,24
13219,15
13220,27
13222,27
13223,7
13225,7
13226,7
13230,9
13233,7
13234,1
13237,7
13238,7
13239,7
13240,7
13241,7
13242,18
13243,18
13245,7
13246,7
13249,7
13250,18
13251,7
13252,7
13253,7
13254,7
13255,7
13257,7
13258,7
13259,7
13262,7
13263,7
13264,18
13266,7
13267,9
13269,9
13270,7
13274,7
13275,7
13276,7
13277,7
13278,7
13280,7
13281,7
13282,7
13283,20
13285,27
13286,27
13287,15
13288,18
13289,2
13290,7
13291,7
13292,7
13293,7
13294,24
13295,7
13296,7
13297,7
13299,7
13300,7
13302,4
13303,7
13304,18
13305,7
13306,7
13307,5
13308,27
13309,7
13310,7
13312,18
13313,18
13315,1
13316,7
13317,7
13319,9
13320,7
13324,7
13326,7
13327,9
13329,7
13330,18
13331,7
13333,7
13334,26
13337,26
13338,26
13340,7
13346,18
13357,5
13359,7
13360,7
13361,18
13362,7
13363,7
13367,7
13368,7
13369,7
13370,7
13371,5
13373,7
13374,7
13375,18
13377,7
13380,7
13381,7
13382,7
13383,26
13384,7
13386,7
13387,7
13388,15
13392,1
13393,27
13394,7
13395,7
13397,7
13398,18
13399,18
13400,27
13402,7
13403,7
13405,12
13406,7
13407,27
13408,9
13410,7
13412,15
13413,24
13414,18
13415,18
13416,2
13417,26
13418,9
13421,7
13423,7
13424,18
13425,5
13426,7
13427,18
13428,4
13431,7
13432,20
13433,5
13434,7
13435,7
13438,20
13439,7
13440,7
13441,7
13442,1
13443,18
13444,7
13445,15
13446,7
13448,9
13450,7
13451,9
13452,18
13453,7
13454,24
13455,7
13457,1
13458,7
13459,15
13461,7
13462,7
13464,7
13465,18
13466,7
13468,9
13469,24
13472,18
13473,20
13474,18
13476,7
13477,18
13478,18
13479,18
13480,7
13481,7
13482,15
13484,7
13485,7
13487,5
13488,9
13490,24
13491,9
13495,7
13497,7
13498,2
13500,7
13501,5
13502,7
13503,13
13506,7
13508,24
13509,5
13510,7
13511,1
13512,7
13513,18
13514,7
13515,18
13516,7
13519,18
13520,7
13523,7
13526,2
13527,7
13530,24
13531,7
13534,7
13535,7
13537,7
13538,7
13539,7
13540,18
13541,7
13542,7
13543,24
13544,7
13545,7
13546,7
13547,7
13548,18
13549,7
13550,7
13551,1
13552,7
13553,1
13554,7
13555,9
13556,7
13557,7
13559,5
13561,7
13562,7
13564,9
13565,7
13566,7
13567,7
13569,7
13571,7
13573,7
13574,7
13576,7
13577,7
13578,7
13579,7
13580,7
13581,7
13582,7
13583,1
13584,5
13585,26
13586,26
13587,18
13589,18
13590,9
13591,7
13593,7
13594,5
13595,4
13597,7
13598,5
13599,9
13600,24
13601,7
13602,7
13604,24
13605,7
13607,7
13608,26
13609,27
13610,7
13611,7
13612,24
13613,18
13614,7
13615,7
13616,20
13617,7
13619,26
13620,4
13622,1
13623,7
13624,7
13625,27
13626,7
13627,5
13628,1
13629,7
13632,7
13634,9
13635,18
13639,7
13640,15
13641,24
13642,7
13643,7
13646,7
13647,5
13648,7
13649,7
13650,7
13651,7
13652,7
13653,5
13654,7
13655,7
13656,5
13658,7
13659,7
13660,7
13661,15
13662,7
13663,7
13665,7
13666,7
13668,7
13669,7
13671,7
13672,2
13674,7
13676,26
13677,7
13679,5
13680,13
13683,18
13684,7
13686,7
13687,28
13688,24
13689,18
13691,7
13692,7
13693,7
13694,16
13695,27
13696,7
13698,27
13699,20
13700,7
13701,18
13702,18
13703,7
13705,7
13706,15
13707,7
13709,18
13710,7
13711,7
13712,15
13713,7
13714,18
13715,9
13717,18
13719,7
13721,7
13722,7
13723,7
13724,24
13727,15
13728,7
13729,7
13733,7
13734,0
13735,9
13736,7
13738,7
13739,4
13740,7
13745,26
13746,7
13747,7
13748,7
13750,7
13752,4
13753,27
13754,7
13756,9
13757,1
13758,9
13760,7
13761,5
13762,27
13763,7
13764,20
13765,24
13766,5
13767,9
13768,2
13769,9
13770,7
13771,26
13772,7
13773,7
13775,27
13776,7
13777,30
13778,5
13779,4
13780,7
13781,27
13782,18
13783,5
13784,7
13785,7
13786,7
13787,18
13788,5
13789,7
13792,7
13793,24
13794,20
13795,7
13796,5
13797,7
13798,30
13799,18
13800,7
13802,9
13803,7
13804,7
13807,7
13809,7
13813,4
13814,4
13815,7
13818,7
13819,1
13820,7
13821,7
13823,7
13824,7
13825,15
13829,7
13830,27
13831,7
13832,7
13833,7
13834,27
13835,4
13836,7
13838,9
13839,5
13840,7
13842,9
13843,7
13846,7
13847,2
13848,7
13849,7
13851,7
13852,15
13854,7
13855,5
13856,18
13857,7
13859,4
13861,7
13862,7
13863,18
13864,7
13869,9
13870,7
13871,7
13872,4
13873,7
13874,5
13875,7
13877,18
13878,26
13879,24
13880,7
13881,23
13883,7
13884,7
13888,7
13889,7
13890,7
13891,7
13892,12
13895,4
13896,15
13897,7
13898,7
13900,7
13901,7
13902,25
13903,7
13905,2
13906,7
13907,1
13909,7
13911,7
13912,7
13913,5
13915,7
13916,18
13919,7
13920,7
13921,7
13922,7
13927,7
13929,7
13931,7
13935,27
13936,7
13937,7
13939,7
13941,7
13942,26
13943,27
13944,24
13945,7
13946,7
13948,7
13952,9
13953,7
13955,7
13957,7
13958,7
13959,7
13961,7
13962,7
13963,9
13964,7
13965,18
13966,7
13967,7
13968,7
13969,9
13970,7
13971,7
13974,27
13975,7
13976,5
13977,7
13979,7
13980,7
13981,7
13982,9
13983,9
13984,7
13985,7
13987,7
13988,7
13989,18
13992,7
13993,7
13995,7
13996,7
13997,4
13998,18
13999,9
14000,7
14001,7
14003,2
14004,7
14006,4
14007,5
14008,7
14009,18
14010,20
14011,12
14013,7
14014,7
14016,7
14017,20
14018,24
14020,18
14021,7
14022,5
14024,7
14025,18
14026,18
14028,20
14030,9
14031,9
14032,7
14033,20
14035,7
14037,18
14038,7
14039,27
14040,9
14042,2
14043,5
14044,7
14045,23
14047,7
14048,7
14049,9
14051,9
14052,7
14053,7
14055,27
14057,7
14058,18
14060,7
14061,5
14062,9
14063,28
14064,7
14065,7
14068,15
14069,4
14070,1
14072,1
14074,15
14075,7
14077,7
14078,7
14079,1
14080,7
14081,9
14082,7
14083,7
14084,5
14085,9
14086,18
14087,7
14088,7
14091,1
14092,7
14094,7
14095,2
14097,12
14099,9
14101,7
14104,7
14105,7
14106,2
14107,18
14108,2
14110,7
14112,18
14113,7
14114,7
14115,5
14118,7
14119,7
14122,7
14123,2
14126,18
14127,7
14128,20
14129,7
14130,7
14131,24
14133,2
14134,7
14135,7
14136,7
14137,1
14139,5
14142,7
14144,5
14145,18
14146,7
14147,7
14148,7
14151,1
14152,7
14153,12
14154,7
14156,35
14157,7
14159,9
14160,15
14161,9
14163,18
14166,5
14167,18
14168,7
14169,7
14170,7
14171,2
14172,15
14173,24
14175,7
14176,7
14177,7
14180,7
14181,7
14182,18
14183,7
14186,7
14187,18
14189,7
14190,1
14191,7
14192,7
14193,7
14194,7
14195,7
14197,7
14198,7
14199,7
14200,15
14201,7
14202,7
14203,7
14204,7
14205,7
14206,7
14207,1
14208,20
14209,7
14210,9
14211,7
14212,18
14213,7
14215,7
14216,7
14217,7
14219,7
14220,20
14221,18
14224,7
14225,7
14226,18
14227,7
14228,7
14229,7
14230,7
14231,18
14233,18
14235,5
14236,7
14237,7
14238,1
14239,7
14240,7
14241,1
14243,9
14244,24
14247,7
14248,18
14249,7
14252,7
14253,5
14254,7
14255,20
14256,5
14257,7
14258,23
14260,18
14263,7
14264,7
14265,18
14266,7
14268,18
14269,7
14271,7
14272,20
14274,1
14275,7
14276,7
14277,7
14278,7
14279,4
14281,7
14282,7
14283,18
14284,24
14285,4
14286,7
14290,7
14291,7
14292,7
14293,7
14294,7
14295,7
14296,7
14298,9
14299,9
14301,7
14302,7
14303,7
14304,7
14306,7
14307,7
14308,20
14309,7
14310,7
14311,20
14312,7
14314,7
14315,20
14316,7
14318,18
14319,7
14320,26
14321,7
14322,7
14324,7
14325,20
14326,18
14327,7
14328,7
14329,9
14330,15
14332,7
14334,7
14338,26
14339,7
14341,7
14342,7
14343,7
14344,9
14346,7
14347,2
14350,7
14353,7
14355,7
14358,7
14361,27
14363,7
14365,7
14366,4
14369,24
14370,18
14372,18
14374,26
14375,18
14376,1
14378,15
14379,7
14380,1
14381,18
14382,7
14384,5
14388,7
14389,7
14390,7
14391,27
14392,7
14394,20
14395,9
14396,7
14398,7
14399,7
14400,7
14401,7
14402,24
14403,27
14404,7
14405,7
14408,18
14409,7
14410,7
14412,7
14413,7
14414,7
14415,9
14417,7
14419,7
14420,7
14421,4
14422,9
14423,7
14425,7
14426,7
14427,5
14429,7
14430,5
14431,7
14433,18
14435,5
14436,20
14437,7
14439,18
14440,7
14441,7
14442,7
14443,7
14444,18
14445,18
14446,7
14447,7
14449,9
14450,7
14451,7
14452,7
14454,7
14455,7
14458,7
14459,24
14460,7
14461,9
14462,7
14463,5
14464,20
14465,7
14466,7
14467,7
14468,2
14469,7
14470,7
14471,27
14472,1
14474,27
14475,7
14477,7
14478,7
14479,7
14480,7
14481,7
14482,7
14483,2
14484,7
14486,5
14487,7
14489,7
14490,7
14491,7
14492,7
14493,7
14494,7
14495,24
14496,7
14497,1
14498,7
14499,7
14505,9
14506,7
14507,7
14508,7
14509,26
14510,7
14512,7
